StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,praise_rejection_1,praise_rejection_2,praise_rejection_3,praise_rejection_4,praise_rejection_5,praise_rejection_6,praise_rejection_7,praise_rejection_8,praise_rejection_9,praise_rejection_10,praise_rejection_11,praise_rejection_12,praise_rejection_13,praise_rejection_14,praise_rejection_15,praise_rejection_16,praise_rejection_17,praise_rejection_18,Q13,likely_nonpro,bot_catcher,likely_pro,botcatcher
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We will ask you to answer questions about yourself, to read a short vignette (3 sentences), and to answer a question about it, and explain your answer. The entire survey will take about 5 minutes. Do you agree to complete the survey?","Please indicate how much you agree or disagree with the following statements... - When I talk to people, I like to present myself as well as possible.","Please indicate how much you agree or disagree with the following statements... - When I’m not being noticed, I feel an urge to attract people’s attention.",Please indicate how much you agree or disagree with the following statements... - I’m eager to make myself stand out in a crowd of people.,Please indicate how much you agree or disagree with the following statements... - I endeavor to gain people’s trust by advertising my skills.,Please indicate how much you agree or disagree with the following statements... - I try to impress people when I meet them for the first time.,"Please indicate how much you agree or disagree with the following statements... - When I work with someone, I make an effort to show them my strengths.",Please indicate how much you agree or disagree with the following statements... - I like to use any chance I get to be acknowledged by my superiors.,Please indicate how much you agree or disagree with the following statements... - I feel that being in a position of power is a chance for me to impress others.,Please indicate how much you agree or disagree with the following statements... - I sometimes wish I was a famous celebrity who is loved by all.,Please indicate how much you agree or disagree with the following statements... - I worry whether others disagree with my opinions.,"Please indicate how much you agree or disagree with the following statements... - When I do something conspicuous, I worry whether I’m being judged.",Please indicate how much you agree or disagree with the following statements... - I get flustered if my opinions get criticized even slightly.,"Please indicate how much you agree or disagree with the following statements... - If someone looks displeased, I hasten to improve their mood.",Please indicate how much you agree or disagree with the following statements... - I’m always careful to avoid getting laughed at for inappropriate behavior.,"Please indicate how much you agree or disagree with the following statements... - When I’m with a group of talented people, I worry whether I’m out of place.","Please indicate how much you agree or disagree with the following statements... - When making a complaint to someone, I’m careful not to provoke them.",Please indicate how much you agree or disagree with the following statements... - I prefer to avoid discussions that might be lead to awkwardness.,Please indicate how much you agree or disagree with the following statements... - I take care to socialize in a way that won’t antagonize others.,Indicate your numerical age in years:,"Imagine that you are chatting with three or four friends in a park. You notice an elderly person nearby who seems to have lost something; she is anxiously looking around the area. Although your friends also seem to notice, none of them offers to help. 
 

 If you were in this situation, would you help the person to find their lost things?","In one sentence, explain why you chose this response.","Imagine that you are chatting with three or four friends in a park. You notice an elderly person nearby who seems to have lost something; she is anxiously looking around the area. Your friends also seem to have noticed, and they are going to help the person looking for lost things. 
 If you were in this situation, would you also help the person to find their lost things?","In one sentence, explain why you chose this response."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID12_7""}","{""ImportId"":""QID12_8""}","{""ImportId"":""QID12_9""}","{""ImportId"":""QID12_10""}","{""ImportId"":""QID12_11""}","{""ImportId"":""QID12_12""}","{""ImportId"":""QID12_13""}","{""ImportId"":""QID12_14""}","{""ImportId"":""QID12_15""}","{""ImportId"":""QID12_16""}","{""ImportId"":""QID12_17""}","{""ImportId"":""QID12_18""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_TEXT""}"
2019-10-04 15:27:28,2019-10-04 15:29:05,0,12.12.130.164,100,97,1,2019-10-04 15:29:06,R_2dLaSvTnJ82aOIK,,,,,41.601806640625,-87.88990020751953125,anonymous,EN,1,6,2,2,3,2,4,3,5,3,2,4,2,4,3,5,4,5,5,36,,,6,It is the right thing to do. I would do that for anyone that was seemingly in need of my help.
2019-10-04 15:27:31,2019-10-04 15:29:33,0,73.3.162.167,100,121,1,2019-10-04 15:29:33,R_3ikGfL9Hh9VxFAC,,,,,39.697296142578125,-104.8394012451171875,anonymous,EN,1,7,3,3,5,6,6,6,5,2,7,6,6,7,6,6,7,7,6,24,5,"If I see someone worried about something, I feel like I have to help them. ",,
2019-10-04 15:28:47,2019-10-04 15:30:00,0,66.214.10.101,100,72,1,2019-10-04 15:30:00,R_28IE4XuYjaHXpgL,,,,,33.7902984619140625,-118.12149810791015625,anonymous,EN,1,3,4,3,4,5,4,5,5,3,3,5,5,4,5,4,3,3,5,28,,,7,I'd like to join my friends in a good-willed situation and also I'd want to do it even if it was with less people or by myself willing to help.
2019-10-04 15:27:25,2019-10-04 15:30:27,0,172.79.21.138,100,181,1,2019-10-04 15:30:27,R_Ua8ubAjCAzU5mNP,,,,,36.052703857421875,-85.01380157470703125,anonymous,EN,1,7,1,1,3,4,6,2,2,1,2,6,2,5,4,4,6,6,7,28,6,"If the elderly person needed help, I would want to help them.",,
2019-10-04 15:30:06,2019-10-04 15:30:42,0,66.214.10.101,100,36,1,2019-10-04 15:30:43,R_1MVVJsWofIc4qM4,,,,,33.7902984619140625,-118.12149810791015625,anonymous,EN,1,3,3,,5,3,4,5,3,3,5,4,4,3,4,6,4,4,3,28,7,I'd want to help them out in a situation where they're being decent people but would want to do this even if I were by myself.,,
2019-10-04 15:29:03,2019-10-04 15:30:45,0,73.48.80.170,100,102,1,2019-10-04 15:30:45,R_2uCDOaGAJgOTcI9,,,,,30.4907989501953125,-84.31580352783203125,anonymous,EN,1,5,1,1,1,1,1,1,1,5,3,7,3,2,3,5,6,6,5,37,,,5,I would feel lazy and selfish to be the only one sitting there doing nothing.
2019-10-04 15:30:21,2019-10-04 15:30:55,0,12.12.130.164,100,33,1,2019-10-04 15:30:55,R_2sR7yOPx8IKFwAJ,,,,,41.601806640625,-87.88990020751953125,anonymous,EN,1,5,6,6,4,5,4,4,5,3,4,5,4,4,5,5,5,6,5,36,,,6,it is the right thing to do and I would want to help my friends
2019-10-04 15:29:01,2019-10-04 15:31:16,0,73.208.246.176,100,134,1,2019-10-04 15:31:16,R_2uICuQoaRpR5730,,,,,41.8054962158203125,-89.7053985595703125,anonymous,EN,1,6,4,3,5,6,7,5,5,6,3,5,1,5,5,3,5,4,4,39,6,"I probably would. I didn't go all the way with a 7 because I might not depending on how I was feeling that day. ",,
